ID,Treatment,D1,D2,D3,D4,D5,D6,D7,D8
1,F,34,156,89,9,1,1,2,0
2,FO,31,144,107,4,0,0,0,0
3,FO,31,145,128,20,0,0,0,0
4,DR,7,32,85,111,72,11,0,0
5,F,65,171,46,5,5,0,0,0
6,DR,0,29,59,102,61,11,0,0
7,DR,4,27,72,98,73,18,0,0
8,DRO,0,28,80,110,56,15,0,0
9,DRO,18,86,121,44,5,0,0,0
10,DRO,34,105,123,18,2,1,0,0
11,DRO,9,54,107,94,17,1,0,0
12,F,58,151,30,0,0,0,0,0
13,DRO,32,76,129,75,7,1,0,0
14,DR,5,24,69,123,44,1,0,0
15,DR,4,24,51,97,57,1,0,0
16,F,59,149,146,28,0,0,0,0
17,DR,2,36,76,119,33,3,0,0
18,F,37,141,114,38,2,0,0,0
19,DR,6,26,64,118,66,19,2,0
20,DR,4,27,64,112,43,7,0,0
21,DRO,22,69,117,105,4,1,2,0
22,FO,41,153,124,5,NA,NA,NA,NA
23,DRO,25,58,98,98,18,0,0,0
24,DR,0,26,55,20,8,16,17,4
25,DR,1,35,73,120,69,12,2,0
26,DR,4,32,77,112,97,12,1,0
27,DRO,27,86,119,6,1,0,4,1
28,DRO,24,111,93,11,2,1,0,0
29,DR,2,28,68,115,56,0,0,0
30,F,52,156,63,2,4,0,0,0
31,F,61,149,97,9,0,0,1,0
32,DRO,20,60,119,76,2,0,0,0
33,DRO,24,86,103,18,1,0,0,0
34,FO,72,171,82,1,0,0,0,0
35,FO,39,112,77,40,15,0,0,0
36,F,54,159,44,7,0,1,0,0
37,DR,6,32,82,77,40,2,0,1
38,DRO,15,59,96,66,33,5,0,0
39,DRO,33,70,103,53,18,2,0,1
40,DRO,16,36,89,116,16,1,0,0
41,DRO,18,95,113,58,2,0,0,0
42,F,27,64,30,7,NA,NA,NA,NA
43,FO,44,158,110,3,0,2,1,0
44,DRO,12,70,106,70,8,0,1,2
45,FO,32,136,87,0,0,3,0,0
46,FO,34,126,135,31,3,2,1,0
47,DRO,5,36,88,150,28,0,0,0
48,FO,4,141,100,6,0,0,0,0
49,FO,45,140,116,24,1,0,0,0
50,DR,5,29,76,108,53,14,8,1
51,F,47,166,106,20,1,0,0,0
52,FO,36,161,94,5,0,0,1,0
53,FO,38,169,117,4,2,0,0,0
54,F,40,134,70,25,1,1,0,0
55,FO,41,146,131,10,2,0,0,0
56,FO,24,156,111,3,15,0,NA,NA
57,DR,0,30,78,121,85,3,0,0
58,DRO,21,89,139,30,6,1,0,0
59,FO,42,151,141,50,21,6,0,0
60,F,26,121,80,19,0,0,0,0
61,DRO,20,71,121,91,26,3,0,0
62,DR,4,35,79,85,28,22,12,6
63,FO,46,169,126,2,1,1,0,0
64,F,47,153,64,34,3,0,0,0
65,DRO,24,72,124,88,8,2,0,0
66,F,43,156,90,4,3,4,1,0
67,DR,4,34,66,88,49,8,1,1
68,FO,49,160,121,1,0,0,0,0
69,FO,37,154,123,6,0,0,0,0
70,F,50,161,47,2,0,0,0,0
71,DR,3,35,69,113,60,5,6,0
72,F,60,156,96,1,0,0,0,0
73,F,53,147,114,6,0,0,1,0
74,F,39,140,135,22,1,2,1,0
75,DRO,26,96,114,74,32,19,11,2
76,DR,3,33,69,121,71,4,1,0
77,F,41,139,57,3,0,0,0,0
78,DRO,6,44,86,74,18,0,0,0
79,F,36,90,60,50,12,1,1,0
80,DR,0,32,65,117,59,4,1,1
81,DR,8,25,70,108,87,12,10,0
82,FO,31,135,98,23,5,0,1,0
83,DR,3,25,75,105,70,14,1,2
84,DRO,21,112,145,13,2,0,0,0
85,DRO,8,41,85,106,25,11,0,0
86,DR,0,27,70,102,69,6,1,1
87,DR,3,25,74,99,19,9,10,1
88,FO,41,151,94,5,1,0,0,0
89,FO,32,124,110,20,5,2,0,0
90,FO,35,156,70,1,2,0,0,0
91,FO,30,147,126,20,2,1,0,0
92,DR,0,29,64,66,27,1,0,0
93,F,52,143,107,12,1,0,0,0
94,DR,6,30,76,107,25,1,0,0
95,FO,37,137,133,33,21,7,2,0
96,FO,53,161,76,1,2,1,0,1
97,FO,NA,138,83,12,0,0,0,0
98,F,42,155,112,7,0,2,0,0
99,F,51,117,125,59,14,NA,NA,NA
100,F,51,129,96,22,6,0,0,0
101,DRO,11,34,95,86,12,1,1,0
102,F,44,158,121,12,1,1,0,0
103,FO,29,134,111,14,1,0,0,0
104,DR,6,29,67,107,51,2,0,0
105,FO,38,145,94,25,2,0,0,0
106,DR,0,33,87,130,56,6,0,0
107,DRO,22,83,96,39,2,2,0,0
108,F,53,159,112,26,1,1,0,0
109,F,47,135,60,13,2,0,0,0
110,DRO,11,30,80,90,37,1,0,1
111,F,53,155,122,52,6,4,0,0
112,DRO,14,49,67,108,38,0,0,0
113,DR,0,21,63,107,66,13,0,0
114,F,49,141,89,4,0,0,0,0
115,F,46,119,52,34,8,7,0,0
116,DRO,10,58,48,2,0,4,1,1
117,DR,4,30,60,103,70,34,7,1
118,FO,41,120,75,39,5,0,0,1
119,DR,4,25,64,81,15,21,1,1
120,F,45,133,99,30,27,5,2,0
121,DRO,25,57,96,78,7,1,0,0
122,F,33,142,90,19,3,0,0,0
123,FO,52,154,100,2,0,0,0,0
124,DRO,28,80,109,75,31,6,2,0
125,FO,48,137,90,2,1,1,0,0
126,DR,2,34,70,115,48,6,3,1
127,DRO,34,104,125,56,8,5,1,0
128,F,45,133,112,11,26,22,10,1
129,FO,43,140,93,4,0,0,0,0
130,FO,49,149,116,3,1,0,1,0
131,DR,3,32,76,116,61,2,1,0
132,DR,0,0,0,0,0,0,0,0
